"CDC","Camere di commercio, industria, artigianato e agricoltura"
"EGP","Enti parco"
"MON","Comunita' montane - Comunita' isolane - Altri enti locali"
"PRO","Province - Comuni - Citta' metropolitane - Unioni di Comuni"
"REG","Regioni e province autonome di Trento e di Bolzano"
"RIC","Enti di ricerca"
"SAN","Strutture sanitarie"
"SP1","Enti strumentali in sperimentazione - PRO"
"SP2","Enti strumentali in sperimentazione - SAN"
"SP3","Enti strumentali in sperimentazione - MON"
"SP4","Enti strumentali in sperimentazione - RIC"
"SP5","Enti strumentali in sperimentazione - CDC"
"SP6","Enti strumentali in sperimentazione - EGP"
"SP7","Enti strumentali in sperimentazione - UNI"
"SP8","Enti strumentali in sperimentazione - REG"
"UNI","Universita'"
